Test started at: 21-02-2024 18:38:06 - Finished at 21-02-2024 18:42:44
Results for simulation time 100.0 s:[
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200)=Results(duration=128, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=3, nodes=200)=Results(duration=117, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=4, nodes=200)=Results(duration=112, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=5, nodes=200)=Results(duration=114, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=6, nodes=200)=Results(duration=123, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=7, nodes=200)=Results(duration=114, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=8, nodes=200)=Results(duration=111, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=9, nodes=200)=Results(duration=111, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=0, nodes=200)=Results(duration=424, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=1, nodes=200)=Results(duration=352, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=2, nodes=200)=Results(duration=356, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=3, nodes=200)=Results(duration=353, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=4, nodes=200)=Results(duration=358, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=5, nodes=200)=Results(duration=361, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=6, nodes=200)=Results(duration=355, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=7, nodes=200)=Results(duration=349, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=8, nodes=200)=Results(duration=345, steps=20001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=9, nodes=200)=Results(duration=354, steps=20001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=0, nodes=201)=Results(duration=381, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=1, nodes=201)=Results(duration=293, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=2, nodes=201)=Results(duration=344, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=3, nodes=201)=Results(duration=303, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=4, nodes=201)=Results(duration=289, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=5, nodes=201)=Results(duration=291, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=6, nodes=201)=Results(duration=290, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=7, nodes=201)=Results(duration=316, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=8, nodes=201)=Results(duration=287, steps=40201), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=9, nodes=201)=Results(duration=291, steps=40201), 
SimulationType(incarnation=protelis, testType=branching, cycle=0, nodes=200)=Results(duration=111, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=1, nodes=200)=Results(duration=79, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=2, nodes=200)=Results(duration=81, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=3, nodes=200)=Results(duration=80, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=4, nodes=200)=Results(duration=78, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=5, nodes=200)=Results(duration=79, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=6, nodes=200)=Results(duration=80, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=7, nodes=200)=Results(duration=89, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=8, nodes=200)=Results(duration=92, steps=40001), 
SimulationType(incarnation=protelis, testType=branching, cycle=9, nodes=200)=Results(duration=90, steps=40001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=0, nodes=843)=Results(duration=4620, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=1, nodes=843)=Results(duration=4603, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=2, nodes=843)=Results(duration=4633, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=3, nodes=843)=Results(duration=4559, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=4, nodes=843)=Results(duration=4660, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=5, nodes=843)=Results(duration=4536, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=6, nodes=843)=Results(duration=5140, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=7, nodes=843)=Results(duration=4533, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=8, nodes=843)=Results(duration=4543, steps=168601), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=9, nodes=843)=Results(duration=4823, steps=168601), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=0, nodes=200)=Results(duration=123, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=1, nodes=200)=Results(duration=72, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=2, nodes=200)=Results(duration=73, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=3, nodes=200)=Results(duration=71, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=4, nodes=200)=Results(duration=65, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=5, nodes=200)=Results(duration=75, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=6, nodes=200)=Results(duration=73, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=7, nodes=200)=Results(duration=70, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=8, nodes=200)=Results(duration=70, steps=40001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=9, nodes=200)=Results(duration=75, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=0, nodes=200)=Results(duration=395, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=1, nodes=200)=Results(duration=354, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=2, nodes=200)=Results(duration=438, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=3, nodes=200)=Results(duration=350, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=4, nodes=200)=Results(duration=353, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=5, nodes=200)=Results(duration=344, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=6, nodes=200)=Results(duration=346, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=7, nodes=200)=Results(duration=349, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=8, nodes=200)=Results(duration=342, steps=40001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=9, nodes=200)=Results(duration=348, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=0, nodes=200)=Results(duration=202, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=1, nodes=200)=Results(duration=184, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=2, nodes=200)=Results(duration=155, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=3, nodes=200)=Results(duration=159, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=4, nodes=200)=Results(duration=164, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=5, nodes=200)=Results(duration=158, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=6, nodes=200)=Results(duration=156, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=7, nodes=200)=Results(duration=154, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=8, nodes=200)=Results(duration=157, steps=40001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=9, nodes=200)=Results(duration=157, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=0, nodes=200)=Results(duration=441, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=1, nodes=200)=Results(duration=414, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=2, nodes=200)=Results(duration=349, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=3, nodes=200)=Results(duration=356, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=4, nodes=200)=Results(duration=351, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=5, nodes=200)=Results(duration=355, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=6, nodes=200)=Results(duration=343, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=7, nodes=200)=Results(duration=362, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=8, nodes=200)=Results(duration=346, steps=40001), 
SimulationType(incarnation=scafi, testType=branching, cycle=9, nodes=200)=Results(duration=347, steps=40001), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=0, nodes=843)=Results(duration=2588, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=1, nodes=843)=Results(duration=2592, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=2, nodes=843)=Results(duration=2713, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=3, nodes=843)=Results(duration=2604, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=4, nodes=843)=Results(duration=2593, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=5, nodes=843)=Results(duration=2617, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=6, nodes=843)=Results(duration=2991, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=7, nodes=843)=Results(duration=2620, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=8, nodes=843)=Results(duration=2593, steps=168601), 
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=9, nodes=843)=Results(duration=2605, steps=168601), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=0, nodes=200)=Results(duration=425, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=1, nodes=200)=Results(duration=276, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=2, nodes=200)=Results(duration=275, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=3, nodes=200)=Results(duration=292, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=4, nodes=200)=Results(duration=277, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=5, nodes=200)=Results(duration=280, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=6, nodes=200)=Results(duration=282, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=7, nodes=200)=Results(duration=277, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=8, nodes=200)=Results(duration=268, steps=40001), 
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=9, nodes=200)=Results(duration=287, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=0, nodes=200)=Results(duration=678, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=1, nodes=200)=Results(duration=644, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=2, nodes=200)=Results(duration=649, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=3, nodes=200)=Results(duration=641, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=4, nodes=200)=Results(duration=638, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=5, nodes=200)=Results(duration=640, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=6, nodes=200)=Results(duration=648, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=7, nodes=200)=Results(duration=638, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=8, nodes=200)=Results(duration=656, steps=40001), 
SimulationType(incarnation=scafi, testType=gradient, cycle=9, nodes=200)=Results(duration=639, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=0, nodes=200)=Results(duration=507, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=1, nodes=200)=Results(duration=544, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=2, nodes=200)=Results(duration=477, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=3, nodes=200)=Results(duration=486, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=4, nodes=200)=Results(duration=480, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=5, nodes=200)=Results(duration=466, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=6, nodes=200)=Results(duration=464, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=7, nodes=200)=Results(duration=466, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=8, nodes=200)=Results(duration=457, steps=40001), 
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=9, nodes=200)=Results(duration=467, steps=40001)]
Average:[
(collektive, fieldEvolution)=129.0, 
(scafi, fieldEvolution)=293.0, 
(protelis, fieldEvolution)=76.0, 
(collektive, neighborCounter)=308.0, 
(scafi, neighborCounter)=481.0, 
(protelis, neighborCounter)=164.0, 
(collektive, branching)=121.0, 
(scafi, branching)=366.0, 
(protelis, branching)=85.0, 
(collektive, gradient)=360.0, 
(scafi, gradient)=647.0, 
(protelis, gradient)=361.0, 
(collektive, channelWithObstacles)=1391.0, 
(scafi, channelWithObstacles)=2651.0, 
(protelis, channelWithObstacles)=4665.0]
Test started at: 21-02-2024 18:38:06 - Finished at 21-02-2024 19:04:43
Results for simulation time 1000.0 s:[
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200)=Results(duration=1070, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=1, nodes=200)=Results(duration=1096, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=2, nodes=200)=Results(duration=1061, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=3, nodes=200)=Results(duration=1070, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=4, nodes=200)=Results(duration=1045, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=5, nodes=200)=Results(duration=1053, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=6, nodes=200)=Results(duration=1034, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=7, nodes=200)=Results(duration=1071, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=8, nodes=200)=Results(duration=1075, steps=200001), 
SimulationType(incarnation=collektive, testType=branching, cycle=9, nodes=200)=Results(duration=1047, steps=200001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=0, nodes=843)=Results(duration=13958, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=1, nodes=843)=Results(duration=13857, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=2, nodes=843)=Results(duration=14028, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=3, nodes=843)=Results(duration=13585, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=4, nodes=843)=Results(duration=13915, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=5, nodes=843)=Results(duration=13520, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=6, nodes=843)=Results(duration=13477, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=7, nodes=843)=Results(duration=13549, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=8, nodes=843)=Results(duration=13586, steps=843001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=9, nodes=843)=Results(duration=13782, steps=843001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=0, nodes=200)=Results(duration=1060, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=1, nodes=200)=Results(duration=996, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=2, nodes=200)=Results(duration=1029, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=3, nodes=200)=Results(duration=998, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=4, nodes=200)=Results(duration=991, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=5, nodes=200)=Results(duration=994, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=6, nodes=200)=Results(duration=996, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=7, nodes=200)=Results(duration=998, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=8, nodes=200)=Results(duration=1071, steps=200001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=9, nodes=200)=Results(duration=997, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=0, nodes=200)=Results(duration=3582, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=1, nodes=200)=Results(duration=3478, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=2, nodes=200)=Results(duration=3553, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=3, nodes=200)=Results(duration=3485, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=4, nodes=200)=Results(duration=3390, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=5, nodes=200)=Results(duration=3383, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=6, nodes=200)=Results(duration=3363, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=7, nodes=200)=Results(duration=3428, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=8, nodes=200)=Results(duration=3361, steps=200001), 
SimulationType(incarnation=collektive, testType=gradient, cycle=9, nodes=200)=Results(duration=3389, steps=200001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=0, nodes=201)=Results(duration=2898, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=1, nodes=201)=Results(duration=2809, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=2, nodes=201)=Results(duration=2818, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=3, nodes=201)=Results(duration=2759, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=4, nodes=201)=Results(duration=2783, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=5, nodes=201)=Results(duration=2774, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=6, nodes=201)=Results(duration=2759, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=7, nodes=201)=Results(duration=2757, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=8, nodes=201)=Results(duration=2765, steps=402001), 
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=9, nodes=201)=Results(duration=2771, steps=402001), 
SimulationType(incarnation=protelis, testType=branching, cycle=0, nodes=200)=Results(duration=682, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=1, nodes=200)=Results(duration=678, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=2, nodes=200)=Results(duration=690, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=3, nodes=200)=Results(duration=667, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=4, nodes=200)=Results(duration=640, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=5, nodes=200)=Results(duration=650, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=6, nodes=200)=Results(duration=642, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=7, nodes=200)=Results(duration=656, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=8, nodes=200)=Results(duration=650, steps=400001), 
SimulationType(incarnation=protelis, testType=branching, cycle=9, nodes=200)=Results(duration=645, steps=400001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=0, nodes=843)=Results(duration=45914, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=1, nodes=843)=Results(duration=47744, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=2, nodes=843)=Results(duration=45754, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=3, nodes=843)=Results(duration=46371, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=4, nodes=843)=Results(duration=45409, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=5, nodes=843)=Results(duration=45286, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=6, nodes=843)=Results(duration=45736, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=7, nodes=843)=Results(duration=45639, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=8, nodes=843)=Results(duration=45439, steps=1686001), 
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=9, nodes=843)=Results(duration=45579, steps=1686001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=0, nodes=200)=Results(duration=599, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=1, nodes=200)=Results(duration=580, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=2, nodes=200)=Results(duration=589, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=3, nodes=200)=Results(duration=584, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=4, nodes=200)=Results(duration=561, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=5, nodes=200)=Results(duration=578, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=6, nodes=200)=Results(duration=560, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=7, nodes=200)=Results(duration=585, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=8, nodes=200)=Results(duration=574, steps=400001), 
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=9, nodes=200)=Results(duration=561, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=0, nodes=200)=Results(duration=3425, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=1, nodes=200)=Results(duration=3425, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=2, nodes=200)=Results(duration=3406, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=3, nodes=200)=Results(duration=3282, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=4, nodes=200)=Results(duration=3364, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=5, nodes=200)=Results(duration=3297, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=6, nodes=200)=Results(duration=3328, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=7, nodes=200)=Results(duration=3310, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=8, nodes=200)=Results(duration=3300, steps=400001), 
SimulationType(incarnation=protelis, testType=gradient, cycle=9, nodes=200)=Results(duration=3301, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=0, nodes=200)=Results(duration=1440, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=1, nodes=200)=Results(duration=1465, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=2, nodes=200)=Results(duration=1408, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=3, nodes=200)=Results(duration=1485, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=4, nodes=200)=Results(duration=1408, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=5, nodes=200)=Results(duration=1432, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=6, nodes=200)=Results(duration=1420, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=7, nodes=200)=Results(duration=1410, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=8, nodes=200)=Results(duration=1404, steps=400001), 
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=9, nodes=200)=Results(duration=1396, steps=400001), 
SimulationType(incarnation=scafi, testType=branching, cycle=0, nodes=200)=Results(duration=3511, steps=400001), 
